uid,sex,age,langs
147000803,2,,
308416836,2,21,
189615964,2,,"Русский,English"
212781623,2,25,
214269527,1,,
189740465,2,,
67914917,1,,
311671580,2,16,
142301755,2,,
287950742,1,14,
181627771,2,,
147793418,1,,
186515290,2,22,"Русский,Українська"
133723089,1,,
132526414,1,22,
184165743,2,17,"Русский,English"
158650708,1,,
145990344,2,22,"Русский,English"
142226274,1,20,
84971941,1,20,
18312282,1,,"Русский,English"
233733053,1,24,
209877270,1,23,"Русский,Deutsch,English"
195260410,2,19,
182692137,1,18,
164019972,2,28,
158668225,1,,
142993254,1,22,
135814908,2,,
94039491,1,25,
80711172,1,26,
73834824,1,,
70880137,1,22,
68879140,1,22,
59151737,1,24,
58309384,1,25,
55437450,1,24,
23152037,1,,
267370960,1,17,
239656607,1,,
230117934,1,,
228218269,1,,
216409115,1,22,
213304728,1,,
207875849,1,18,
206087715,1,18,"Русский,Deutsch,English,Lingua Latina"
205537155,1,16,"Русский,English"
200353196,1,14,
190427533,2,17,
181291328,1,17,
174796303,1,,
169307361,1,18,"Русский,Deutsch"
158369039,2,19,
146075943,1,21,
144977921,1,26,
143953298,2,,
140181987,1,20,
158110987,2,21,
138695401,1,,
111856020,1,,
98062831,1,,
92762384,1,,
92544395,1,22,
87437366,1,23,
80423871,1,,
78480268,1,24,
70635563,1,,
49733010,1,20,
44951092,1,23,
43311669,1,23,"Русский,English,Lingua Latina"
35053014,1,25,
31437780,2,23,
26304152,1,,
15205445,2,,
341927483,1,,
323985541,2,15,
317998699,1,,
313952261,1,,
308133024,1,,
304934734,1,15,
304727724,1,,
298654170,1,,"Русский,English"
288815790,1,26,
286255379,1,,"Русский,English"
285353720,1,24,
283696153,1,,
282269696,2,,
278897184,2,,
277767681,1,,
274441636,1,23,
271684235,1,20,"Русский,Français"
270322807,1,14,
269483069,2,,
268942290,1,24,
267500426,2,,
254809040,2,16,
252388883,1,,
244027522,1,30,
237480580,1,,
235948661,2,,
