uid,sex,age,langs
147000803,2,,
308416836,2,21,
189615964,2,,"Русский,English"
212781623,2,25,
214269527,1,,
189740465,2,,
67914917,1,,
311671580,2,16,
142301755,2,,
287950742,1,14,
181627771,2,,
147793418,1,,
186515290,2,22,"Русский,Українська"
133723089,1,,
132526414,1,22,
184165743,2,17,"Русский,English"
158650708,1,,
145990344,2,22,"Русский,English"
142226274,1,20,
18312282,1,,"Русский,English"
233733053,1,24,
209877270,1,23,"Русский,Deutsch,English"
195260410,2,19,
164019972,2,28,
158668225,1,,
142993254,1,22,
135814908,2,,
94039491,1,25,
80711172,1,26,
73834824,1,,
70880137,1,22,
182692137,1,18,
68879140,1,22,
59151737,1,24,
58309384,1,25,
55437450,1,24,
23152037,1,,
267370960,1,17,
239656607,1,,
230117934,1,,
228218269,1,,
216409115,1,22,
213304728,1,,
207875849,1,18,
206087715,1,18,"Русский,Deutsch,English,Lingua Latina"
205537155,1,16,"Русский,English"
190427533,2,17,
181291328,1,17,
174796303,1,,
169307361,1,18,"Русский,Deutsch"
160664928,2,21,
158369039,2,19,
146075943,1,21,
144977921,1,26,
143953298,2,,
140181987,1,20,
138695401,1,,
111856020,1,,
98062831,1,,
92762384,1,,
92544395,1,22,
87437366,1,23,
80423871,1,,
78480268,1,24,
70635563,1,,
49733010,1,20,
44951092,1,23,
43311669,1,23,"Русский,English,Lingua Latina"
35053014,1,25,
31437780,2,23,
26304152,1,,
15205445,2,,
341927483,1,,
323985541,2,15,
319571444,1,,
313952261,1,,
308133024,1,,
304934734,1,15,
298654170,1,,"Русский,English"
288815790,1,26,
286255379,1,,"Русский,English"
285353720,1,24,
283696153,1,,
282269696,2,,
278897184,2,,
277767681,1,,
274441636,1,23,
271684235,1,20,"Русский,Français"
270620249,2,16,
270322807,1,14,
269483069,2,,
267500426,2,,
254809040,2,16,
252388883,1,,
244027522,1,30,
237480580,1,,
235948661,2,,
235913083,2,,
229521980,1,,
224722741,1,,
221674620,1,,
219673404,1,16,
215669560,1,,
213642495,1,,
212734893,1,,
211956251,1,21,"Русский,English"
210482195,1,16,"Русский,English"
210062368,1,,
204382714,2,18,
203943038,1,,
200969269,1,18,
196762915,1,29,
196632778,1,20,
194792276,1,16,
193091248,1,20,
192802029,1,31,
214521029,1,14,
192390102,1,21,
190261745,1,19,
190244743,1,17,
186036496,2,,
185418179,1,,
182367230,1,17,
181895723,1,,"Русский,English"
181824557,1,,
181815746,1,17,
181690639,1,20,
181598939,1,,
180466837,1,,
180219983,1,,
178871552,1,,
177959210,1,,
177799256,2,,
177422949,1,28,
176432297,1,,
175894508,1,,
175369109,2,,
174482373,1,,
174249337,1,20,
168395065,1,,"Русский,English"
167630766,1,,
166226150,1,20,
165931813,1,21,
163606060,1,,
162609368,1,18,
162546267,1,,
162390106,1,,
159383511,1,19,"Русский,English,Lingua Latina"
159327860,1,,
210103860,1,16,
159045810,1,,
158110987,2,21,
157878207,2,15,
155746515,1,,
155597540,1,22,
155090588,1,,"Русский,English"
154088786,1,,
153811085,2,,
153654713,1,,"Русский,English"
152733994,2,,"Русский,English"
152455748,1,21,
152383808,2,23,
302300808,1,,
152348098,1,,
151808646,1,25,
151291131,1,24,
147725189,2,,"Русский,English,Français"
145059549,1,,
144076471,1,19,
142700203,1,,
263279203,1,17,
142585515,1,,
142452772,1,18,
140055139,1,,
140040103,1,,
136284459,1,18,
134957996,1,24,
134360869,1,,
133269275,1,,
133192696,1,22,
132869360,1,,
129946025,1,22,
129558687,1,24,"Русский,Словѣ́ньскъ"
164050687,1,15,
125627923,2,28,
125424187,1,23,
125166468,1,20,
123369719,1,22,
121861447,1,24,
119169439,2,,
118116424,1,,
117020052,1,22,
116954587,2,,"Русский,English,Deutsch,Татарча"
105517116,1,,
157692116,1,,
103984831,1,24,
276549831,1,,
97199737,1,,
94656510,1,22,
90763089,1,22,"Русский,Deutsch"
90584405,2,,
88329796,1,,"Русский,English"
168339796,1,,
81858892,1,24,
81549879,2,,
76838866,1,24,
73720341,2,,
69439658,1,,
67358509,1,24,
66910196,1,,
64019027,1,30,
61165390,1,,
56233010,1,24,
53239762,2,24,
52179585,2,,
47379720,1,26,
42931815,1,,
39847015,1,25,
38533781,1,27,
35108947,2,38,
29698924,1,,
23848389,1,,
23573350,1,25,
22095151,1,26,
8013866,1,26,
5316984,2,24,
189494627,1,22,"Русский,English"
138490304,1,26,
65666776,2,25,
49529871,1,,
19490422,1,29,
15733537,1,30,
369212854,2,,
367873075,2,33,
367567428,2,14,
363212135,1,23,
362010810,1,,"Русский,Татарча"
361519602,1,14,
359160878,1,,
357792624,1,,"Русский,Українська"
357214597,2,,
354908693,1,14,
354851729,2,,
354586375,1,,
353409094,1,,
353112299,2,15,
353038455,1,,
350302886,2,,
349353208,1,,
348877984,1,16,
348720278,2,16,
348327546,2,14,
347828118,1,,
347796126,2,56,
347763059,1,,
347420063,2,14,
347393057,2,21,
347283623,1,,
346897340,2,15,
345669285,1,15,
345483112,1,14,
343307204,2,,"Русский,अवधी,Հայերեն,ဗမာစာ"
342766386,1,,
342111954,2,,
341091061,2,15,
340896807,2,,
340545302,1,,
340448313,1,15,
337999040,1,14,
337409246,1,,
337201725,2,,
337070394,1,14,
332644945,1,,"Русский,English,Deutsch"
332510383,1,35,
332293462,2,,अवधी
332001411,1,,
331917958,1,40,
331124833,2,15,
330749086,1,15,
330007461,1,32,
329774246,2,14,
329470785,1,,
329068137,2,20,
328881724,1,14,
328547220,1,14,
328100799,2,15,
327930447,2,17,
327588901,2,16,
325797982,2,,"English,Русский,Deutsch"
324254809,1,,
336049809,1,15,
324068613,1,16,
321599780,2,15,
320533822,1,,
320520107,1,,
320094009,2,20,
319666455,1,15,
319601714,2,20,
319135771,1,,
318300027,2,,
317998699,1,,
317893266,2,18,
317265521,2,21,
317220928,1,20,
317081506,2,,
315570701,1,15,
314509466,1,,
314186464,2,20,
314023512,1,,
313793953,1,14,
312122811,1,,
311980379,1,14,
311088064,1,,
310581608,1,16,
310130457,2,,
310074408,1,,
309780768,2,25,
309534164,2,,
309244126,1,16,
308822205,1,,"Русский,English"
308663206,2,,
308563761,2,23,
307965886,2,15,
307905475,2,16,
306529810,1,24,
306525914,2,17,
306193734,2,14,
306062849,1,17,
305541414,2,,
305461547,1,15,"Русский,English"
305103850,2,,
304474473,1,15,
303908436,1,,
303690730,1,,
303573869,2,15,
315756869,2,21,
303206642,1,15,"Русский,English,日本語"
302966589,2,16,
302894925,1,,
302719224,2,,
301681277,1,,
301600502,2,16,
301424789,1,16,
301823789,1,14,
301349296,1,20,
301113683,2,38,
300991836,2,15,
300794260,1,,
300731814,1,,
300716733,1,14,
298998925,2,15,
298973435,1,18,
298760032,1,,"Русский,English"
298640843,2,,
298575421,2,26,
298507075,2,19,
296786964,2,,
308186964,2,15,
296062524,1,,"Русский,English"
295569053,1,14,
294910938,1,,
294673146,1,16,
293398524,2,37,
293032803,2,18,
292896521,1,15,
291581223,2,,
291284915,2,15,
291187298,2,18,
290274182,1,33,
295483182,2,17,
290101769,2,,
289167957,2,,
288931528,2,20,
288727026,1,15,
288726460,1,15,
288583526,2,15,
288126355,1,16,
324257355,2,15,
287601532,2,,"Русский,English"
287523988,2,20,
287100526,1,22,
286417752,1,,"Русский,English"
286246329,1,16,
316625329,2,,
285894066,2,15,
285639760,1,,
285192570,2,15,
285108158,1,15,
283906824,1,,
283758080,2,16,
283310280,2,,
283026079,2,14,
282753179,2,,
323867179,1,,
323946179,2,17,
280983035,2,18,
280090292,2,,"English,Русский"
279890948,1,20,
279740835,1,21,
279623913,2,,
279427483,2,,
279368604,1,,
278041335,2,22,
277470268,1,,"Русский,English,Ненэця' вада"
277093669,1,25,
276968020,1,18,
276555342,2,,
276201218,2,14,
275856527,1,,
275731889,2,16,
275715739,2,,
275143157,1,,"Русский,English"
273553772,1,,
273466043,1,,
273445127,1,18,
